City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
317,Haimen,23.1935,116.6142,72.48,86,0,13.02,CN,clear sky
318,Gandajika,-6.75,23.95,65.88,96,100,1.54,CD,light rain
319,Farad,47.6063,17.2002,46.72,93,100,4.81,HU,overcast clouds
320,Cagsiay,14.2167,121.75,78.58,91,100,14.07,PH,light rain
321,Bajil,15.0584,43.2851,76.87,72,0,3.15,YE,clear sky
322,Mecca,21.4267,39.8261,76.03,74,4,6.49,SA,clear sky
323,Barrancas,10.9576,-72.7877,74.77,98,95,2.24,CO,overcast clouds
324,Portland,45.5234,-122.6762,47.57,54,20,14.0,US,few clouds
325,Kasane,-17.8167,25.15,74.59,34,0,1.05,BW,clear sky
326,Luwero,0.8492,32.4731,64.04,98,99,1.39,UG,light rain
327,Broome,42.2506,-75.833,32.77,78,100,10.36,US,overcast clouds
328,Mahajanga,-15.7167,46.3167,71.62,88,40,2.3,MG,scattered clouds
329,Arraial Do Cabo,-22.9661,-42.0278,71.85,75,0,8.19,BR,clear sky
330,Tomatlan,19.9333,-105.25,76.53,72,0,3.2,MX,clear sky
331,Tulagi,-9.0996,160.1476,83.28,71,95,7.52,SB,moderate rain
332,Alofi,-19.0595,-169.9187,77.07,79,26,5.99,NU,scattered clouds
333,Gornopravdinsk,60.05,69.9,-2.61,88,27,8.72,RU,scattered clouds
334,Abha,18.2164,42.5053,57.31,74,1,1.72,SA,clear sky
335,Payakumbuh,-0.2202,100.6308,70.57,90,100,3.09,ID,overcast clouds
336,Malinta,12.3022,123.5575,77.7,92,100,10.78,PH,overcast clouds
337,Doka,13.5167,35.7667,75.63,34,2,8.37,SD,clear sky
338,La Ronge,55.1001,-105.2842,13.1,81,95,10.54,CA,overcast clouds
339,Sola,-13.8833,167.55,82.09,72,10,11.16,VU,clear sky
340,Changji,44.0167,87.3167,25.59,93,40,2.24,CN,scattered clouds
341,Aasiaat,68.7098,-52.8699,16.97,94,100,5.32,GL,overcast clouds
342,Black River,18.0264,-77.8487,79.65,81,89,2.28,JM,overcast clouds
343,Chicama,-7.8447,-79.1469,61.34,81,70,5.86,PE,broken clouds
344,Kontagora,10.3999,5.4695,73.13,34,42,3.71,NG,scattered clouds
345,Le Port,-20.9373,55.2919,69.8,69,25,2.3,RE,scattered clouds
346,Podgornoye,51.735,39.1496,26.82,93,100,6.71,RU,overcast clouds
